"Categoría [Category]";"Producto [Product]";"Clasificar orden de productos de una categoría [Position]";"Clasificar orden de las categorías para un producto [PositionCategory]"
Categories/GAMING/TORRES_GAMING;1002;10;20
Categories/GAMING/TORRES_GAMING;1003;20;20
Categories/GAMING/TORRES_GAMING;1004;30;20
Categories/GAMING/TORRES_GAMING;1005;40;20
Categories/GAMING/TORRES_GAMING;1006;50;10
Categories/GAMING/TORRES_GAMING;1007;60;10
Categories/GAMING/TORRES_GAMING;1008;70;10
Categories/GAMING/TORRES_GAMING;1009;80;10
Categories/GAMING/TORRES_GAMING;1010;90;10
Categories/GAMING/TORRES_GAMING;1011;100;10
Categories/GAMING/TORRES_GAMING;1012;110;10
Categories/GAMING/TORRES_GAMING;1013;120;10
Categories/GAMING/TORRES_GAMING;1014;130;10
Categories/GAMING/TORRES_GAMING;1015;140;10
Categories/GAMING/TORRES_GAMING;1016;150;10
Categories/GAMING/TORRES_GAMING;1017;160;10
Categories/GAMING/TORRES_GAMING;1018;170;10
Categories/GAMING/TORRES_GAMING;1019;180;10
Categories/GAMING/TORRES_GAMING;1020;190;10
Categories/GAMING/TORRES_GAMING;1021;200;10
Categories/GAMING/TORRES_GAMING;1022;210;10
Categories/GAMING/TORRES_GAMING;1023;220;10
Categories/GAMING/TORRES_GAMING;1024;230;10
Categories/GAMING/TORRES_GAMING/INTEL;1002;10;10
Categories/GAMING/TORRES_GAMING/INTEL;1004;20;10
Categories/GAMING/TORRES_GAMING/INTEL;1006;30;20
Categories/GAMING/TORRES_GAMING/INTEL;1008;40;20
Categories/GAMING/TORRES_GAMING/INTEL;1010;50;20
Categories/GAMING/TORRES_GAMING/INTEL;1012;60;20
Categories/GAMING/TORRES_GAMING/INTEL;1014;70;20
Categories/GAMING/TORRES_GAMING/INTEL;1017;80;20
Categories/GAMING/TORRES_GAMING/INTEL;1019;90;20
Categories/GAMING/TORRES_GAMING/INTEL;1021;100;20
Categories/GAMING/TORRES_GAMING/INTEL;1023;110;20
Categories/GAMING/TORRES_GAMING/AMD;1003;10;10
Categories/GAMING/TORRES_GAMING/AMD;1005;20;10
Categories/GAMING/TORRES_GAMING/AMD;1007;30;20
Categories/GAMING/TORRES_GAMING/AMD;1009;40;20
Categories/GAMING/TORRES_GAMING/AMD;1011;50;20
Categories/GAMING/TORRES_GAMING/AMD;1013;60;20
Categories/GAMING/TORRES_GAMING/AMD;1015;70;20
Categories/GAMING/TORRES_GAMING/AMD;1016;80;20
Categories/GAMING/TORRES_GAMING/AMD;1018;90;20
Categories/GAMING/TORRES_GAMING/AMD;1022;100;20
Categories/GAMING/TORRES_GAMING/AMD;1024;110;20
Categories/GAMING/TORRES_GAMING/AMD;1020;120;20
Categories/GAMING/PERIFERICOS_GAMING;9502;10;10
Categories/GAMING/PERIFERICOS_GAMING;16414;10;10
Categories/GAMING/PERIFERICOS_GAMING;20490;10;10
Categories/GAMING/PERIFERICOS_GAMING;20546;10;10
Categories/GAMING/PERIFERICOS_GAMING;20547;10;10
Categories/GAMING/PERIFERICOS_GAMING;20678;10;10
Categories/GAMING/PERIFERICOS_GAMING;21902;10;10
Categories/GAMING/PERIFERICOS_GAMING;21997;10;10
Categories/GAMING/PERIFERICOS_GAMING;22127;10;10
Categories/GAMING/PERIFERICOS_GAMING;22277;10;10
