"Tipo [Class]";"Identificador [UnityAlias]";"Orden de clasificación [Position]";"Visible [IsVisible]";"Precio/EUR/gross [ListPrices/EUR/gross]";"Precio original/EUR/gross [ManufacturerPrices/EUR/gross]";"IsManufacturerPriceRRP [IsManufacturerPriceRRP]";"IsShippingLinkVisible [IsShippingLinkVisible]";"Tipo fiscal [TaxClass]";"Unidad de referencia [RefUnit]";"Cantidad de referencia [RefAmount]";"Cantidad en el producto [RefContentAmount]";"Fabricante [Manufacturer]";"N.º de producto del fabricante [ManufacturerSKU]";"Código del producto [UPCEAN]";"Existencias [StockLevel]";"Nivel mínimo de existencias [StockLevelAlert]";"Plazo de entrega [DeliveryPeriod]";"Unidad de peso [WeightUnit]";"Peso de entrega [Weight]";"Longitud [Length]";"Altura [Height]";"Anchura [Width]";"Formas de entrega [ShippingMethods]";"Nombre/Español [Name/es]";"Título de la página/Español [Title/es]";"Descripción/Español [Description/es]";"Descripción detallada/Español [Text/es]";"Palabras clave/Español [Keywords/es]";"Funciones básicas/Español [MainCharacteristics/es]";"Producto maestro [SuperProduct]";"Variantes de atributos [SelectedVariations]";"Imagen para la vista ampliada [ImageLarge]";"Imágenes para galería/presentación [ImagesSlideShowString]";"EnergyLabelsString [EnergyLabelsString]";"EnergyLabelSourceFile [EnergyLabelSourceFile]";"_ProductDataSheet/Español [_ProductDataSheet/es]";"EnergyLabelHighestEfficiencyClass [EnergyLabelHighestEfficiencyClass]";"ProductVideoProvider/Español [ProductVideoProvider/es]";"TaxClassMapping [TaxClassMapping]";"PROCESADOR/I3 8100 [PROCESADOR/I3_8100]";"COLOR/DESERT/Español [COLOR/DESERT/es]";"COLOR/JUNGLE/Español [COLOR/JUNGLE/es]";"COLOR/GAV/Español [COLOR/GAV/es]";"COLOR/NEGRO/Español [COLOR/NEGRO/es]";"COLOR/ROSA/Español [COLOR/ROSA/es]";"COLOR/COLOR [COLOR/COLOR]";"TAMAÑO/PEQUEÑO/Español [TAMANO/PEQUENO/es]";"TAMAÑO/GRANDE/Español [TAMANO/GRANDE/es]";"TAMAÑO/TAMAÑO [TAMANO/TAMANO]"
PROCESADOR;1002;10;1;649;;0;1;normal;;;;"PCS GAMING";;7430000000000;3;1;"3 a 5";kilogram;10;500;260;520;;"PUBG PC GAMING INTEL";;"<p>Si quieres jugar a uno de los juegos mas jugados de este planeta no dudes en adquirir este pc preparado para ello. Con una Tarjeta Grafica de la marca NVIDIA podras jugar a 60 FPS sin dificultad, haciendo asi el juego ONLINE mas comodo. Este PC esta completamente preparado para jugar, no tienes que hacer nada, simplemente encenderlo y jugar. Viene instalado con WINDOWS 10, y el famoso juego PUBG de regalo, asi como otros programas GRATUITOS para que no tengas que mover ni un dedo.<br /></p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja CS-107V2 AEROCOOL</p><p>Fuente alimentacion MARS GAMING 650W 80+</p><p>Procesador Intel Core i3-10100F</p><p>Refrigeracion Liquida COOLBOX DEEP GAMING DEEP RUNNING</p><p>Placa Base GIGABYTE H410M S2H V3</p><p>Tarjeta Grafica MSI GTX 1050Ti 4GB</p><p>Memoria Ram 8Gb DDR4 2666Mhz KINGSTON</p><p>Disco duro SSD 240GB KINGSTON </p><p>Disco duro 1Tb SATA 3.5"" WD</p><p>Microsoft Windows 11 Pro 64 bit</p><p>PlayerUnknown´s BattleGrounds de REGALO</p><p>MONTAJE EQUIPO </p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p><p>GARANTIA PREMIUM 2 AÑOS<br /></p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL PUBG";"pc gaming, pubg, ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;1.png;"1.png;2.jpg;3.jpg;4.jpg;5.jpg;CAJA.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""ClC7yl2ZK2A""}]";"{""preselected"":[],""optional"":[]}";;;;;;;;;;
;1003;20;1;775;;0;1;normal;;;;;;;3;1;"3 a 5 dias";kilogram;10;500;260;520;;"PUBG PC GAMING AMD";;"<p>Si quieres jugar a uno de los juegos mas jugados de este planeta no dudes en adquirir este pc preparado para ello. Con una Tarjeta Grafica de la marcaAMD podras jugar a 60 FPS sin dificultad, haciendo asi el juego ONLINE mas comodo. Este PC esta completamente preparado para jugar, no tienes que hacer nada, simplemente encenderlo y jugar. Viene instalado con WINDOWS 10, y el famoso juego PUBG de regalo, asi como otros programas GRATUITOS para que no tengas que mover ni un dedo.</p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja CS-107V2 AEROCOOL</p><p>Fuente alimentacion MARS GAMING 650W 80+</p><p>Procesador AMD RYZEN 5 3600</p><p>Refrigeracion Liquida COOLBOX DEEP GAMING DEEP RUNNING</p><p>Placa Base GIGABYTE A320M-S2H</p><p>Tarjeta Grafica GTX 1050Ti 4GB</p><p>Memoria Ram 8Gb DDR4 2666Mhz KINGSTON</p><p>Disco duro SSD 240GB KINGSTON</p><p>Disco duro 1Tb WESTERN DIGITAL</p><p>Microsoft Windows 11 Pro 64 bit</p><p>PlayerUnknown´s BattleGrounds de REGALO</p><p>MONTAJE EQUIPO</p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p><p>GARANTIA PREMIUM 2 AÑOS</p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL PUBG";"pc gaming, pubg, ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;FINAL.png;"FINAL.png;3.jpg;1.jpg;2.jpg;4.jpg;5.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""ClC7yl2ZK2A""}]";;;;;;;;;;;
;1004;30;1;499;;0;1;normal;;;;"PCS GAMING";;7,43E+12;3;1;"3 a 5 dias";kilogram;10;500;260;520;;"GTA 5 PC GAMING INTEL";;"<p>Como no, aqui esta uno de los reyes de los juegos mas jugados del mundo. Y como no, un ordenador pensado para jugar a una buena calidad de imagen, sin cortes, sin problemas gracias a una refrigeracion liquida para jugar horas y horas sin descanso. La carga de las texturas te hará jugar como si estuvieras en la propia ciudad gracias al disco duro SSD de alta velocidad. En definitiva, un PC diseñado exclusivamente para jugar al GTA 5</p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja MARS GAMING MCX RGB</p><p>Fuente alimentacion 600W ECOSMART ANIMA<br /></p><p>Procesador Intel Dual Core G6405</p><p>Placa Base H410M-S2H V3 GIGABYTE</p><p>Tarjeta Grafica GT 1030 2GB ASUS</p><p>Memoria Ram 8Gb DDR4 2666 KINGSTON</p><p>Disco duro 240Gb SSD KINGSTON</p><p>Disco duro 1Tb 3.5"" WESTERN DIGITAL</p><p>Microsoft Windows 11 Pro 64 bit</p><p>GRAND THEFT AUTO V de REGALO</p><p>MONTAJE EQUIPO</p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p><p><br /></p><p><br /></p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL GTA 5";"pc gaming, GTA 5, GTA V, ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;FINAL.png;"FINAL.png;CAJA_CON_PG_FINAL.png;2_copia.png;1.png;3.png;4.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""hSXPv1Hy1iE""}]";;;;;;;;;;;
;1005;40;1;649;;0;1;normal;;;;"PCS GAMING";;7,43E+12;3;1;"3 a 5 dias";kilogram;10;500;260;520;;"GTA 5 PC GAMING AMD";;"<p>Como no, aqui esta uno de los reyes de los juegos mas jugados del mundo. Y como no, un ordenador pensado para jugar a una buena calidad de imagen, sin cortes, sin problemas gracias a una refrigeracion liquida para jugar horas y horas sin descanso. La carga de las texturas te hará jugar como si estuvieras en la propia ciudad gracias al disco duro SSD de alta velocidad. En definitiva, un PC diseñado exclusivamente para jugar al GTA 5</p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja MARS GAMING MCX RGB</p><p>Fuente Alimentacion 600W ECOSMART ANIMA<br /></p><p>Procesador AMD Ryzen 5 3600</p><p>Placa Base H410M-S2H V3 GIGABYTE</p><p>Tarjeta Grafica GT 1030 2GB ASUS</p><p>Memoria Ram 8Gb DDR4 2666 KINGSTON</p><p>Disco duro 240Gb SSD KINGSTON</p><p>Disco duro 1Tb 3.5"" WESTERN DIGITAL</p><p>Microsoft Windows 11 Pro 64 bit</p><p>GRAND THEFT AUTO V de REGALO</p><p>MONTAJE EQUIPO</p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL GTA 5";"pc gaming, GTA 5, GTA V, ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;FINAL.png;"FINAL.png;CAJA_CON_PG_FINAL.png;2_copia.png;1.png;3.png;4.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""hSXPv1Hy1iE""}]";;;;;;;;;;;
;1006;50;1;999;;0;1;normal;;;;"PCS GAMING";;7,43E+12;3;1;"3 a 5 dias";kilogram;10;500;260;520;;"TOM CLANCY´S PC GAMING INTEL";;"<p>La ciudad esta a tu merced, recarga tus armas y adentrate en el mundo TOM CLANCY´S junto a este PC GAMING preparado para la lucha. Equipado con una NOVEDOSA Tarjeta Grafica y una REFRIGERACION LIQUIDA RGB, te apasionara el juego online mientras tienes de lado una caja como esta. Un pequeño paso para la INFORMATICA, un gran paso para el GAMING.</p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja CYLON RGB AEROCOOL</p><p>Fuente alimentacion Mars Gaming 650w 80+</p><p>Refrigeracion Liquida COOLBOX DEEP GAMING DEEP RUNNING</p><p>Procesador Intel Core i5-10400F</p><p>Placa Base B560M-DS3H V2 GIGABYTE</p><p>Tarjeta Grafica NVIDIA GTX 1660 6GB GIGABYTE</p><p>Memoria Ram 16gb DDR4 2666 KINGSTON</p><p>Disco Duro 240gb SSD KINGSTON</p><p>Disco Duro 1Tb 3.5"" WESTERN DIGITAL</p><p>Microsoft Windows 11 Pro 64 bit</p><p>TOM CLANCY´S GHOST RECON WILDLANDS de REGALO</p><p>MONTAJE EQUIPO</p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p><p><br /></p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL TOM CLANCY´S THE DIVISION 2";"pc gaming, TOM CLANCY´S, THE DIVISION 2, TOM CLANCYS, GTA V, ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;FOTO.png;"FOTO.png;CAJA_copia.png;7_copia.png;3_copia.png;2.jpg;5.jpg;6.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""gE-ckTFuwwA""}]";"{""preselected"":[],""optional"":[]}";;;;;;;;;;
;1007;60;1;1.099;;0;1;normal;;;;;;7,43E+12;2;1;"3 a 5 dias";kilogram;10;500;260;520;;"TOM CLANCY´S PC GAMING AMD";;"<p>La ciudad esta a tu merced, recarga tus armas y adentrate en el mundo TOM CLANCY´S junto a este PC GAMING preparado para la lucha. Equipado con una NOVEDOSA Tarjeta Grafica y una REFRIGERACION LIQUIDA RGB, te apasionara el juego online mientras tienes de lado una caja como esta. Un pequeño paso para la INFORMATICA, un gran paso para el GAMING.</p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja CYLON RGB AEROCOOL</p><p>Fuente alimentacion Mars Gaming 650w 80+</p><p>Refrigeracion Liquida COOLBOX DEEP GAMING DEEP RUNNING</p><p>Procesador AMD RYZEN 5 3600</p><p>Placa Base B450M-DS3H GIGABYTE</p><p>Tarjeta Grafica NVIDIA GTX 1660 6GB GIGABYTE</p><p>Memoria Ram 16gb DDR4 2666 KINGSTON</p><p>Disco Duro 240gb SSD KINGSTON</p><p>Disco Duro 1Tb 3.5"" WESTERN DIGITAL</p><p>Microsoft Windows 11 Pro 64 bit</p><p>TOM CLANCY´S GHOST RECON WILDLANDS de REGALO</p><p>MONTAJE EQUIPO</p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL TOM CLANCY´S THE DIVISION 2";"pc gaming, TOM CLANCY´S, THE DIVISION 2, TOM CLANCYS, GTA V, ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;FOTO.png;"FOTO.png;CAJA_copia.png;7_copia.png;3_copia.png;2.jpg;5.jpg;6.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""gE-ckTFuwwA""}]";;;;;;;;;;;
;1008;70;1;349;;0;1;normal;;;;;;7,43E+12;3;1;"3 a 5 dias";kilogram;10;500;260;520;;"MINECRAFT PC GAMING INTEL";;"<p>Uno de los juegos mas jugados y mejor pulidos para que puedas jugar en un PC al precio mas COMPETITIVO. Un PC MULTITAREA y con GRAN ALMACENAMIENTO. Un PC ESTABLE y ACTUALIZABLE y, por supuesto, con el juego MINECRAFT DE REGALO. Pensado, ensamblado y configurado para jugar a este apasionante juego 3D.</p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja Micro Atx CS-105 AEROCOOL</p><p>Fuente Alimentacion 600W ECOSMART ANIMA</p><p>Procesador INTEL Dual Core G6405</p><p>Placa Base H410M-S2H V3 GIGABYTE</p><p> Tarjeta Grafica INTEGRADA PROCESADOR</p><p>Memoria Ram 8 GB DDR4 2666 KINGSTON</p><p>Disco Duro 1 TB 3.5"" WD<br /></p><p>Microsoft Windows 11 Pro 64 bit</p><p>Minecraft de REGALO</p><p>MONTAJE EQUIPO</p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p><p><br /></p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL MINECRAFT";"pc gaming, minecraft, ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;1.png;"1.png;2.jpg;3.jpg;4.jpg;5.jpg;6.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""CD70gia0hu8""}]";;;;;;;;;;;
;1009;80;1;339;;0;1;normal;;;;;;7,43E+12;3;1;"3 a 5 dias";kilogram;10;500;260;520;;"MINECRAFT PC GAMING AMD";;"<p>Uno de los juegos mas jugados y mejor pulidos para que puedas jugar en un PC al precio mas COMPETITIVO. Un PC MULTITAREA y con GRAN ALMACENAMIENTO. Un PC ESTABLE y ACTUALIZABLE y, por supuesto, con el juego MINECRAFT DE REGALO. Pensado, ensamblado y configurado para jugar a este apasionante juego 3D.</p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja Micro Atx CS-105 AEROCOOL</p><p>Fuente Alimentacion 600W ECOSMART ANIMA</p><p>Procesador AMD ATHLON 300GE</p><p>Placa Base A320M-S2H GIGABYTE</p><p>Tarjeta Grafica INTEGRADA PROCESADOR</p><p>Memoria Ram 8 GB DDR4 2666 KINGSTON</p><p>Disco Duro 1 TB 3.5"" WD<br /></p><p>Microsoft Windows 11 Pro 64 bit</p><p>Minecraft de REGALO</p><p>MONTAJE EQUIPO</p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL MINECRAFT";"pc gaming, minecraft, ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;1.png;"1.png;2.jpg;3.jpg;4.jpg;5.jpg;6.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""CD70gia0hu8""}]";;;;;;;;;;;
;1010;90;1;425;;0;1;normal;;;;;;7,43E+12;3;1;"3 a 5 dias";kilogram;10;500;260;520;;"COUNTER STRIKE PC GAMING INTEL";;"<p>Mas de 18 años lleva ya este juego entre nuestros dedos, mejorando actualizacion tras actualizacion hasta llegados a este punto, con la ultima actualizacion, GLOBAL OFFENSIVE. Y aun asi, no pide mucho PC y, como no, hemos preparado este PC para la ocasion. Con carga ultrarapida gracias al disco de estado SOLIDO SSD y sus 8GB de RAM te haran pasar las tardes jugando a este frenetico juego de guerra. No dudes que te envolvera, te atrapara y necesitaras comprarlo pero no te preocupes, con este PC te lo llevas de REGALO.</p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja Micro ATX CS-105 AEROCOOL</p><p>Fuente Alimentacion 600W ECOSMART ANIMA</p><p>Procesador INTE DUAL CORE G6405</p><p>Placa Base H410M-S2H GIGABYTE</p><p>Tarjeta Grafica NVIDIA GT 730</p><p>Memoria Ram 8 GB DDR4 2666 KINGSTON</p><p>Disco Duro SSD 240GB KINGSTON<br /></p><p>Microsoft Windows 11 Pro 64 bit</p><p>Counter Strike: GO de REGALO</p><p>MONTAJE EQUIPO</p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL COUNTER STRIKE: GLOBA OFFENSIVE";"pc gaming, counter strike, global offensive, co , ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;1.png;"1.png;2.jpg;3.jpg;4.jpg;5.jpg;6.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""RmYRKi-x4Aw""}]";"{""preselected"":[],""optional"":[]}";;;;;;;;;;
;1011;100;1;415;;0;1;normal;;;;;;7,43E+12;3;1;"3 a 5 dias";kilogram;10;500;260;520;;"COUNTER STRIKE PC GAMING AMD";;"<p>Mas de 18 años lleva ya este juego entre nuestros dedos, mejorando actualizacion tras actualizacion hasta llegados a este punto, con la ultima actualizacion, GLOBAL OFFENSIVE. Y aun asi, no pide mucho PC y, como no, hemos preparado este PC para la ocasion. Con carga ultrarapida gracias al disco de estado SOLIDO SSD y sus 8GB de RAM te haran pasar las tardes jugando a este frenetico juego de guerra. No dudes que te envolvera, te atrapara y necesitaras comprarlo pero no te preocupes, con este PC te lo llevas de REGALO.</p><p><br /></p><p><strong>Especificaciones Técnicas</strong></p><p>Caja Micro ATX CS-105 AEROCOOL</p><p>Fuente Alimentacion 600W ECOSMART ANIMA</p><p>Procesador AMD ATHLON 300GE</p><p>Placa Base A320M-S2H GIGABYTE</p><p>Tarjeta Grafica NVIDIA GT 730</p><p>Memoria Ram 8 GB DDR4 2666 KINGSTON</p><p>Disco Duro SSD 240GB KINGSTON<br /></p><p>Microsoft Windows 11 Pro 64 bit</p><p>Counter Strike: GO de REGALO</p><p>MONTAJE EQUIPO</p><p>INSTALACION SISTEMA OPERATIVO Y EXTRAS</p>";"PC DISEÑADO Y CONFIGURADO POR EL EQUIPO TECNICO DE PCSGAMING PARA JUGAR AL COUNTER STRIKE: GLOBA OFFENSIVE";"pc gaming, counter strike, global offensive, co , ordenador gaming, torre gaming, rgb, gaming, gamer, jugar, pc para jugar";;;;1.png;"1.png;3.jpg;4.jpg;5.jpg;6.jpg;2.jpg";;;;;"[{""VideoType"":""YouTube"",""VideoID"":""RmYRKi-x4Aw""}]";;;;;;;;;;;
